Player Id,Name,Current Status,Years Played
marquisebrown/2562379,"Brown, Marquise",Active,
prestonbrown/2543814,"Brown, Preston",Active,
milesbrown/2563016,"Brown, Miles",Active,
noahbrown/2558091,"Brown, Noah",Active,
orlandobrown/2560981,"Brown, Orlando",Active,
pharaohbrown/2559018,"Brown, Pharaoh",Active,
richiebrown/2558921,"Brown, Richie",Active,
tonybrown/2560982,"Brown, Tony",Active,
trentbrown/2552350,"Brown, Trent",Active,
billybrown/2559147,"Brown, Billy",Injured reserve,
zachbrown/2532804,"Brown, Zach",Active,
jakebrowning/2562634,"Browning, Jake",Active,
garrettbrumfield/2562964,"Brumfield, Garrett",Active,
danielbrunskill/2559108,"Brunskill, Daniel",Active,
tavenbryan/2560983,"Bryan, Taven",Active,
austinbryant/2562240,"Bryant, Austin",Active,
brandinbryant/2556486,"Bryant, Brandin",Active,
brandonbryant/2561645,"Bryant, Brandon",Active,
ventellbryant/2563267,"Bryant, Ventell",Active,
deonebucannon/2543769,"Bucannon, Deone",Active,
deforestbuckner/2555275,"Buckner, DeForest",Active,
isaiahbuggs/2562241,"Buggs, Isaiah",Active,
bryanbulaga/496988,"Bulaga, Bryan",Active,
jonathanbullard/2555335,"Bullard, Jonathan",Active,
randybullock/2533444,"Bullock, Randy",Active,
rileybullough/2558923,"Bullough, Riley",Injured reserve,
malcolmbunche/2553697,"Bunche, Malcolm",Active,
ianbunting/2563073,"Bunting, Ian",Active,
vontazeburfict/2533058,"Burfict, Vontaze",Active,
jamesburgess/2556489,"Burgess, James",Active,
rexburkhead/2539265,"Burkhead, Rex",Active,
orenburks/2560984,"Burks, Oren",Active,
deontayburnett/2560985,"Burnett, Deontay",Active,
morganburnett/496727,"Burnett, Morgan",Active,
artieburns/2555344,"Burns, Artie",Active,
brianburns/2562242,"Burns, Brian",Active,
benburr-kirven/2562490,"Burr-Kirven, Ben",Active,
justonburris/2555313,"Burris, Juston",Active,
deanteburton/2559109,"Burton, Deante",Active,
treyburton/2550284,"Burton, Trey",Active,
michaelburton/2552636,"Burton, Michael",Active,
deonbush/2555155,"Bush, Deon",Active,
devinbush/2562243,"Bush, Devin",Active,
juwannbushell-beatty/2562445,"Bushell-Beatty, Juwann",Active,
harrisonbutker/2558245,"Butker, Harrison",Active,
adambutler/2558924,"Butler, Adam",Active,
bricebutler/2541388,"Butler, Brice",Active,
emmanuelbutler/2562636,"Butler, Emmanuel",Active,
hakeembutler/2562491,"Butler, Hakeem",Active,
jamesbutler/2561678,"Butler, James",Active,
malcolmbutler/2550613,"Butler, Malcolm",Active,
paulbutler/2561483,"Butler, Paul",Active,
vernonbutler/2555243,"Butler, Vernon",Active,
jakebutt/2557859,"Butt, Jake",Active,
kevinbyard/2555158,"Byard, Kevin",Active,
damierebyrd/2553499,"Byrd, Damiere",Active,
jasoncabinda/2560986,"Cabinda, Jason",Active,
deoncain/2560987,"Cain, Deon",Active,
yodnycajuste/2562244,"Cajuste, Yodny",Active,
joshcaldwell/2563337,"Caldwell, Josh",Cut,
shaqcalhoun/2562245,"Calhoun, Shaq",Active,
shiliquecalhoun/2555294,"Calhoun, Shilique",Active,
tavezecalhoun/2556491,"Calhoun, Taveze",Active,
austincalitro/2558925,"Calitro, Austin",Active,
brycecallahan/2553500,"Callahan, Bryce",Active,
joecallahan/2556492,"Callahan, Joe",Active,
antoniocallaway/2560988,"Callaway, Antonio",Active,
calaiscampbell/744,"Campbell, Calais",Active,
chriscampbell/2560989,"Campbell, Chris",Injured reserve,
de'vondrecampbell/2555255,"Campbell, De'Vondre",Active,
ibraheimcampbell/2552605,"Campbell, Ibraheim",Active,
parriscampbell/2562495,"Campbell, Parris",Active,
tevaughncampbell/2562806,"Campbell, Tevaughn",Active,
blakecamper/2562972,"Camper, Blake",Active,
jakecampos/2561305,"Campos, Jake",Active,
kameroncanaday/2556421,"Canaday, Kameron",Active,
mauricecanady/2555178,"Canady, Maurice",Active,
a.j.cann/2552330,"Cann, A.J.",Active,
marcuscannon/2495131,"Cannon, Marcus",Active,
trentoncannon/2561137,"Cannon, Trenton",Active,
dylancantrell/2560990,"Cantrell, Dylan",Injured reserve,
alexcappa/2560991,"Cappa, Alex",Active,
joecardona/2552701,"Cardona, Joe",Active,
jakecarlock/2563058,"Carlock, Jake",Active,
danielcarlson/2560993,"Carlson, Daniel",Active,
stephencarlson/2563044,"Carlson, Stephen",Active,
malikcarney/2562637,"Carney, Malik",Active,
jamescarpenter/2495134,"Carpenter, James",Active,
austincarr/2558928,"Carr, Austin",Active,
brandoncarr/4365,"Carr, Brandon",Active,
derekcarr/2543499,"Carr, Derek",Active,
tankcarradine/2539224,"Carradine, Tank",Active,
joshcarraway/2557883,"Carraway, Josh",Active,
t.j.carrie/2550164,"Carrie, T.J.",Active,
derekcarrier/2534241,"Carrier, Derek",Active,
chriscarson/2558865,"Carson, Chris",Active,
tracarson/2556493,"Carson, Tra",Active,
brucecarter/2495136,"Carter, Bruce",Active,
cethancarter/2558929,"Carter, Cethan",Active,
corycarter/2558297,"Carter, Cory",Active,
deandrecarter/2553502,"Carter, DeAndre",Active,
jamalcarter/2559321,"Carter, Jamal",Active,
jermainecarter/2561093,"Carter, Jermaine",Active,
kylecarter/2556494,"Carter, Kyle",Active,
lorenzocarter/2561015,"Carter, Lorenzo",Active,
jurrellcasey/2495476,"Casey, Jurrell",Active,
blakecashman/2562496,"Cashman, Blake",Active,
anthonycastonzo/2495137,"Castonzo, Anthony",Active,
tylercatalina/2558871,"Catalina, Tyler",Cut,
chandlercatanzaro/2550325,"Catanzaro, Chandler",Not With Team,
rashardcausey/2563175,"Causey, Rashard",Active,
garrettcelek/2534820,"Celek, Garrett",Active,
jonathancelestin/2561679,"Celestin, Jonathan",Active,
jakeceresna/2557543,"Ceresna, Jake",Active,
andrechachere/2561016,"Chachere, Andre",Active,
seanchandler/2561017,"Chandler, Sean",Active,
d.j.chark/2561018,"Chark, D.J.",Active,
orsoncharles/2533047,"Charles, Orson",Cut,
tacocharlton/2557882,"Charlton, Taco",Active,
hampcheevers/2562501,"Cheevers, Hamp",Cut,
anthonychesley/2563235,"Chesley, Anthony",Active,
jehuchesson/2557866,"Chesson, Jehu",Active,
anthonychickillo/2552266,"Chickillo, Anthony",Active,
adamchoice/2563021,"Choice, Adam",Injured reserve,
geronchristian/2561019,"Christian, Geron",Active,
marquichristian/2556277,"Christian, Marqui",Active,
tarynchristion/2562866,"Christion, Taryn",Active,
demarcuschristmas/2562246,"Christmas, Demarcus",Active,
bradleychubb/2561020,"Chubb, Bradley",Active,
brandonchubb/2556500,"Chubb, Brandon",Cut,
nickchubb/2561021,"Chubb, Nick",Active,
patrickchung/71251,"Chung, Patrick",Active,
jordanchunn/2561308,"Chunn, Jordan",Active,
jackcichy/2561022,"Cichy, Jack",Active,
morrisclaiborne/2533059,"Claiborne, Morris",Active,
willclapp/2561023,"Clapp, Will",Active,
chuckclark/2558248,"Clark, Chuck",Active,
chrisclark/2507358,"Clark, Chris",Active,
frankclark/2552629,"Clark, Frank",Active,
jeremyclark/2558249,"Clark, Jeremy",Injured reserve,
kennyclark/2555282,"Clark, Kenny",Active,
khairiclark/2562998,"Clark, Khairi",Active,
le'ravenclark/2555202,"Clark, Le'Raven",Active,
charlesclay/2495139,"Clay, Charles",Active,
adrianclayborn/2495140,"Clayborn, Adrian",Active,
coreyclement/2559150,"Clement, Corey",Active,
t.j.clemmings/2552365,"Clemmings, T.J.",Active,
reshardcliett/2553449,"Cliett, Reshard",Active,
hahaclinton-dix/2543470,"Clinton-Dix, Ha Ha",Active,
jadeveonclowney/2543456,"Clowney, Jadeveon",Active,
randallcobb/2495448,"Cobb, Randall",Active,
simmiecobbs/2561024,"Cobbs, Simmie",Active,
rosscockrell/2543799,"Cockrell, Ross",Active,
tarikcohen/2558250,"Cohen, Tarik",Active,
adriancolbert/2558857,"Colbert, Adrian",Active,
mattcolburn/2563305,"Colburn, Matt",Active,
a.j.cole/2562247,"Cole, A.J.",Active,
dylancole/2559152,"Cole, Dylan",Active,
keelancole/2559153,"Cole, Keelan",Active,
masoncole/2561025,"Cole, Mason",Active,
coreycoleman/2555333,"Coleman, Corey",Injured reserve,
justincoleman/2553637,"Coleman, Justin",Active,
kurtcoleman/494261,"Coleman, Kurt",Active,
shoncoleman/2555337,"Coleman, Shon",Injured reserve,
tevincoleman/2552453,"Coleman, Tevin",Active,
trevoncoley/2556504,"Coley, Trevon",Active,
l.j.collier/2562248,"Collier, L.J.",Active,
aviantecollins/2558932,"Collins, Aviante",Active,
jalencollins/2552573,"Collins, Jalen",Active,
jamiecollins/2539311,"Collins, Jamie",Active,
la'elcollins/2553505,"Collins, La'el",Active,
landoncollins/2552454,"Collins, Landon",Active,
maliekcollins/2555400,"Collins, Maliek",Active,
parkercollins/2559154,"Collins, Parker",Active,
brittoncolquitt/71259,"Colquitt, Britton",Active,
dustincolquitt/2506438,"Colquitt, Dustin",Active,
michaelcolubiale/2563263,"Colubiale, Michael",Cut,
aaroncolvin/2543501,"Colvin, Aaron",Active,
johncominsky/2562249,"Cominsky, John",Active,
tomcompton/2532816,"Compton, Tom",Active,
te'vonconey/2562250,"Coney, Te'Von",Active,
jackconklin/2555279,"Conklin, Jack",Active,
tylerconklin/2561027,"Conklin, Tyler",Active,
chrisconley/2552652,"Conley, Chris",Active,
gareonconley/2558062,"Conley, Gareon",Active,
ryanconnelly/2562638,"Connelly, Ryan",Active,
jamesconner/2557978,"Conner, James",Active,
zachconque/2559155,"Conque, Zach",Cut,
c.j.conrad/2562639,"Conrad, C.J.",Active,
codyconway/2563249,"Conway, Cody",Cut,
dalvincook/2557991,"Cook, Dalvin",Active,
jaredcook/71265,"Cook, Jared",Active,
rishardcook/2563352,"Cook, Rishard",Active,
logancooke/2561161,"Cooke, Logan",Active,
brandincooks/2543498,"Cooks, Brandin",Active,
amaricooper/2552487,"Cooper, Amari",Active,
chriscooper/2561429,"Cooper, Chris",Active,
jonathancooper/2539272,"Cooper, Jonathan",Active,
marcuscooper/2541202,"Cooper, Marcus",Active,
pharohcooper/2555419,"Cooper, Pharoh",Active,
brandoncopeland/2541695,"Copeland, Brandon",Active,
marquisecopeland/2562877,"Copeland, Marquise",Active,
austincorbett/2561028,"Corbett, Austin",Active,
